module_id,module,r3e_alignment,source_paths,cited_symbols,source_exists,runtime_caller_evidence,test_evidence,live_evidence,acceptance_evidence,highest_proven_state,why_next_state_unproven
MOD-01,MarketDataNormalization,PARTIAL,src/GC.AuctionFlow/Runtime/GcaeRuntimeSnapshot.cs,class GcaeRuntimeSnapshot@src/GC.AuctionFlow/Runtime/GcaeRuntimeSnapshot.cs,Y,none proven this pass,none isolated (aggregate only),NONE,NONE,CODE_PRESENT_PARTIAL,R3E=PARTIAL; valid domain output not proven (NotCalibrated); per-module test not isolated
MOD-02,DataQualityCapability,PARTIAL,src/GC.AuctionFlow/Core/DataState.cs,enum DataState@src/GC.AuctionFlow/Core/DataState.cs,Y,none proven this pass,none isolated (aggregate only),NONE,NONE,CODE_PRESENT_PARTIAL,R3E=PARTIAL; valid domain output not proven (NotCalibrated); per-module test not isolated
MOD-03,SessionTradingDate,CONFLICT,src/GC.AuctionFlow/Profile/PrimaryAuctionClock.cs,class PrimaryAuctionClock@src/GC.AuctionFlow/Profile/PrimaryAuctionClock.cs,Y,none proven this pass,none isolated (aggregate only),NONE,NONE,CODE_PRESENT_PARTIAL,R3E=PARTIAL; valid domain output not proven (NotCalibrated); per-module test not isolated
MOD-04,TPO,PARTIAL,src/GC.AuctionFlow/Profile/ClassicTpoEngine.cs;src/GC.AuctionFlow/Profile/ValueAreaAndPoc.cs,class ClassicTpoEngine@src/GC.AuctionFlow/Profile/ClassicTpoEngine.cs;class PocSelector@src/GC.AuctionFlow/Pro,Y,none proven this pass,none isolated (aggregate only),NONE,NONE,CODE_PRESENT_PARTIAL,R3E=PARTIAL; valid domain output not proven (NotCalibrated); per-module test not isolated
MOD-05,SessionVolumeProfile,PARTIAL,src/GC.AuctionFlow/Profile/VolumeProfileEngine.cs,class VolumeProfileEngine@src/GC.AuctionFlow/Profile/VolumeProfileEngine.cs,Y,none proven this pass,none isolated (aggregate only),NONE,NONE,CODE_PRESENT_PARTIAL,R3E=PARTIAL; valid domain output not proven (NotCalibrated); per-module test not isolated
MOD-06,CompositeProfile,PARTIAL,src/GC.AuctionFlow/Composite/CompositePolicy.cs,enum CompositeStatus@src/GC.AuctionFlow/Composite/CompositePolicy.cs,Y,none proven this pass,none isolated (aggregate only),NONE,NONE,CODE_PRESENT_PARTIAL,R3E=PARTIAL; valid domain output not proven (NotCalibrated); per-module test not isolated
MOD-07,AuctionRegime,PARTIAL,src/GC.AuctionFlow/Directional/DirectionalEnums.cs,enum DirectionalAuctionState@src/GC.AuctionFlow/Directional/DirectionalEnums.cs,Y,none proven this pass,none isolated (aggregate only),NONE,NONE,CODE_PRESENT_PARTIAL,R3E=PARTIAL; valid domain output not proven (NotCalibrated); per-module test not isolated
MOD-08,OneTimeFraming,PARTIAL,src/GC.AuctionFlow/Directional/OneTimeFramingTracker.cs,class OneTimeFramingTracker@src/GC.AuctionFlow/Directional/OneTimeFramingTracker.cs,Y,none proven this pass,none isolated (aggregate only),NONE,NONE,CODE_PRESENT_PARTIAL,R3E=PARTIAL; valid domain output not proven (NotCalibrated); per-module test not isolated
MOD-09,ReferenceZone,PARTIAL,src/GC.AuctionFlow/Reference/ReferenceEnums.cs;src/GC.AuctionFlow/Reference/StructuralReferenceRegistry.cs,enum ReferenceType@src/GC.AuctionFlow/Reference/ReferenceEnums.cs;class StructuralReferenceRegistry@src/GC.Auc,Y,none proven this pass,none isolated (aggregate only),NONE,NONE,CODE_PRESENT_PARTIAL,R3E=PARTIAL; valid domain output not proven (NotCalibrated); per-module test not isolated
MOD-10,PriceMemory,PARTIAL,src/GC.AuctionFlow/Memory/PriceMemoryHost.cs,class PriceMemoryHost@src/GC.AuctionFlow/Memory/PriceMemoryHost.cs,Y,none proven this pass,none isolated (aggregate only),NONE,NONE,CODE_PRESENT_PARTIAL,R3E=PARTIAL; valid domain output not proven (NotCalibrated); per-module test not isolated
MOD-11,AuctionEpisode,PARTIAL,src/GC.AuctionFlow/Episode/EpisodeEnums.cs;src/GC.AuctionFlow/Episode/AuctionEpisodeRegistry.cs,enum EpisodeState@src/GC.AuctionFlow/Episode/EpisodeEnums.cs;AttemptCount@src/GC.AuctionFlow/Episode/AuctionEp,Y,none proven this pass,none isolated (aggregate only),NONE,NONE,CODE_PRESENT_PARTIAL,R3E=PARTIAL; valid domain output not proven (NotCalibrated); per-module test not isolated
MOD-12,IndependentAttemptRearm,PARTIAL,src/GC.AuctionFlow/Episode/AuctionEpisodeRegistry.cs,AttemptCount@src/GC.AuctionFlow/Episode/AuctionEpisodeRegistry.cs,Y,none proven this pass,none isolated (aggregate only),NONE,NONE,CODE_PRESENT_PARTIAL,R3E=PARTIAL; valid domain output not proven (NotCalibrated); per-module test not isolated
MOD-13,AcceptanceReacceptance,PARTIAL,src/GC.AuctionFlow/Evidence/EvidenceVectors.cs,AcceptanceEvidenceVector@src/GC.AuctionFlow/Evidence/EvidenceVectors.cs,Y,none proven this pass,none isolated (aggregate only),NONE,NONE,CODE_PRESENT_PARTIAL,R3E=PARTIAL; valid domain output not proven (NotCalibrated); per-module test not isolated
