canonical_id,source_document,source_section,source_line,aliases,module,proposed_value,test_range,unit,source_status,approval_status,current_impl_member,decision_id,conflict_group,phase_owner
primary_session_template,ParameterRegistry_v1.0,5.1,107,,SessionTradingDate,Theo template GC đã thống nhất,Nhiều template hợp lệ,Session ID,REVIEW-REQUIRED,UnderReview,NOT_PRESENT,DEC-T03,CG-SESSION-TZ,B1
session_timezone,ParameterRegistry_v1.0,5.1,108,,SessionTradingDate,Exchange timezone,Exchange / UTC / local-converted,Timezone,REVIEW-REQUIRED,UnderReview,NOT_PRESENT,DEC-T03,CG-SESSION-TZ,B1
trading_date_rule,ParameterRegistry_v1.0,5.1,109,,SessionTradingDate,Theo session start,Theo exchange calendar,Rule,REVIEW-REQUIRED,UnderReview,NOT_PRESENT,DEC-T03,CG-SESSION-TZ,B1
tpo_bracket_minutes,ParameterRegistry_v1.0,5.1,110,,SessionTradingDate,30,"15, 30, 60",Phút,PROPOSED-SEED,Proposed,TpoPeriodMinutes@src/GC.AuctionFlow/Profile/ClassicTpoEngine.cs,DEC-T03,none,B1
initial_balance_minutes,ParameterRegistry_v1.0,5.1,111,,SessionTradingDate,60,"30, 60, 90",Phút,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T03,none,B1
warmup_sessions,ParameterRegistry_v1.0,5.1,112,adr20_warmup_sessions,SessionTradingDate,20,"10, 20, 40",Phiên,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T08,none,B0
structural_history_sessions,ParameterRegistry_v1.0,5.2,127,,AuctionRegime,20,"10, 20, 40, 60",Phiên,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T02,none,B1
recent_value_comparison_sessions,ParameterRegistry_v1.0,5.2,128,,AuctionRegime,5,"3, 5, 7, 10",Phiên,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T02,none,B1
weekly_context_weeks,ParameterRegistry_v1.0,5.2,129,,AuctionRegime,4,"2, 4, 8, 12",Tuần,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T02,none,B1
regime_min_completed_sessions,ParameterRegistry_v1.0,5.2,130,,AuctionRegime,3,"2, 3, 5",Phiên,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T02,none,B1
value_overlap_threshold,ParameterRegistry_v1.0,5.2,131,regime_value_overlap,AuctionRegime,Chưa chốt,40%–80%,Phần trăm,REVIEW-REQUIRED,UnderReview,NOT_PRESENT,DEC-T02,CG-REGIME-OVERLAP,B1
poc_migration_tolerance_ticks,ParameterRegistry_v1.0,5.2,132,poc_migration,AuctionRegime,Chưa chốt,1–20,Tick,REVIEW-REQUIRED,UnderReview,NOT_PRESENT,DEC-T02,CG-POC-MIGRATION,B1
value_area_percent,ParameterRegistry_v1.0,5.3,159,,VolumeProfileTpo,70,"68, 70",Phần trăm,PROPOSED-SEED,Proposed,ValueAreaFraction@src/GC.AuctionFlow/Profile/ValueAreaAndPoc.cs,DEC-T01,none,B1
profile_price_row_ticks,ParameterRegistry_v1.0,5.3,160,,VolumeProfileTpo,Theo tick/volatility,"1, 2, 4, adaptive",Tick,REVIEW-REQUIRED,UnderReview,NOT_PRESENT,DEC-T01,CG-PROFILE-ROW,B1
poc_tie_break_policy,ParameterRegistry_v1.0,5.3,161,,VolumeProfileTpo,Gần midpoint,Lower / Upper / Mid-nearest,Rule,REVIEW-REQUIRED,UnderReview,NOT_PRESENT,DEC-T01,none,B1
developing_profile_update_seconds,ParameterRegistry_v1.0,5.3,162,,VolumeProfileTpo,1,"Tick-driven, 1, 5, 15",Giây,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T01,none,B1
episode_profile_enabled,ParameterRegistry_v1.0,5.3,163,,VolumeProfileTpo,true,true / false,Boolean,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T01,none,B1
profile_finalize_delay_seconds,ParameterRegistry_v1.0,5.3,164,,VolumeProfileTpo,2,0–10,Giây,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T01,none,B1
composite_min_sessions,ParameterRegistry_v1.0,5.4,180,,CompositeProfile,2,"2, 3, 4",Phiên,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T01,none,B1
composite_max_observation_sessions,ParameterRegistry_v1.0,5.4,181,composite_effective_sessions,CompositeProfile,15,"10, 15, 20, 30",Phiên,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T01,none,B1
composite_value_overlap_threshold,ParameterRegistry_v1.0,5.4,182,composite_value_overlap,CompositeProfile,Chưa chốt,40%–80%,Phần trăm,REVIEW-REQUIRED,UnderReview,NOT_PRESENT,DEC-T01,CG-COMPOSITE-OVERLAP,B1
composite_poc_distance_factor,ParameterRegistry_v1.0,5.4,183,,CompositeProfile,Chưa chốt,"0,25–1,5",Median M1 range,REVIEW-REQUIRED,UnderReview,NOT_PRESENT,DEC-T01,none,B1
composite_separation_confirm_sessions,ParameterRegistry_v1.0,5.4,184,,CompositeProfile,2,"1, 2, 3",Phiên,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T01,none,B1
composite_reentry_grace_sessions,ParameterRegistry_v1.0,5.4,185,,CompositeProfile,1,"0, 1, 2",Phiên,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T01,none,B1
zone_min_half_width_ticks,ParameterRegistry_v1.0,5.5,208,,ReferenceZone,2,1–8,Tick,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T04,CG-ZONE-WIDTH,B1
zone_volatility_width_factor,ParameterRegistry_v1.0,5.5,209,,ReferenceZone,"0,25","0,1–1,0",Median M1 range,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T04,CG-ZONE-WIDTH,B1
composite_zone_width_factor,ParameterRegistry_v1.0,5.5,210,,ReferenceZone,"0,5","0,25–1,5",Median M1 range,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T04,none,B1
zone_merge_distance_ticks,ParameterRegistry_v1.0,5.5,211,,ReferenceZone,Chưa chốt,1–20,Tick,REVIEW-REQUIRED,UnderReview,NOT_PRESENT,DEC-T04,none,B1
zone_max_age_sessions,ParameterRegistry_v1.0,5.5,212,,ReferenceZone,Không cố định,5–60,Phiên,REVIEW-REQUIRED,UnderReview,NOT_PRESENT,DEC-T04,none,B1
zone_max_tests,ParameterRegistry_v1.0,5.5,213,,ReferenceZone,Không cố định,1–10,Lần,REVIEW-REQUIRED,UnderReview,NOT_PRESENT,DEC-T04,none,B1
manual_zone_enabled,ParameterRegistry_v1.0,5.5,214,,ReferenceZone,false,true / false,Boolean,DEFERRED,Deferred,NOT_PRESENT,DEC-T04,none,B1
approach_min_ticks,ParameterRegistry_v1.0,5.6,235,,AuctionEpisode,4,"2, 4, 6, 8, 12",Tick,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T01,CG-APPROACH-DIST,B3
approach_volatility_factor,ParameterRegistry_v1.0,5.6,236,,AuctionEpisode,"0,75","0,25–1,5",Median M1 range,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T01,none,B3
episode_start_policy,ParameterRegistry_v1.0,5.6,237,,AuctionEpisode,First touch,First touch / first trade inside,Rule,REVIEW-REQUIRED,UnderReview,NOT_PRESENT,DEC-T01,none,B3
episode_max_duration_minutes,ParameterRegistry_v1.0,5.6,238,,AuctionEpisode,60,"15, 30, 60, 120",Phút,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T01,none,B3
episode_session_boundary_policy,ParameterRegistry_v1.0,5.6,239,,AuctionEpisode,Expire,Expire / carry,Rule,REVIEW-REQUIRED,UnderReview,NOT_PRESENT,DEC-T01,none,B3
episode_max_attempts_tracked,ParameterRegistry_v1.0,5.6,240,,AuctionEpisode,5,2–10,Lần,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T01,none,B3
episode_local_profile_enabled,ParameterRegistry_v1.0,5.6,241,,AuctionEpisode,true,true / false,Boolean,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T01,none,B3
rearm_min_bars,ParameterRegistry_v1.0,5.7,266,,AttemptRearm,3,"1, 2, 3, 5, 8",M1 bar,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T04,none,B3
rearm_center_cross_required,ParameterRegistry_v1.0,5.7,267,,AttemptRearm,false,true / false,Boolean,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T04,none,B3
rearm_min_reentry_depth_ratio,ParameterRegistry_v1.0,5.7,268,,AttemptRearm,"0,5","0,25–1,0",Zone width,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T04,none,B3
rearm_delta_reset_required,ParameterRegistry_v1.0,5.7,269,,AttemptRearm,false,true / false,Boolean,DEFERRED,Deferred,NOT_PRESENT,DEC-T04,none,B3
rearm_local_profile_reset_required,ParameterRegistry_v1.0,5.7,270,,AttemptRearm,false,true / false,Boolean,DEFERRED,Deferred,NOT_PRESENT,DEC-T04,none,B3
rearm_required_condition_count,ParameterRegistry_v1.0,5.7,271,,AttemptRearm,2,"1, 2, 3",Điều kiện,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T04,none,B3
fast_window_bars,ParameterRegistry_v1.0,5.8,289,,Acceptance,3,"2, 3, 4",M1 bar,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T01,none,B5
standard_window_bars,ParameterRegistry_v1.0,5.8,290,,Acceptance,5,"3, 5, 7",M1 bar,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T01,CG-ACCEPT-WINDOW,B5
extended_window_bars,ParameterRegistry_v1.0,5.8,291,,Acceptance,10,"7, 10, 15, 20",M1 bar,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T01,none,B5
outside_volume_share_threshold,ParameterRegistry_v1.0,5.8,292,,Acceptance,60,"50, 60, 70, 80",Phần trăm,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T01,none,B5
outside_trade_count_share_threshold,ParameterRegistry_v1.0,5.8,293,,Acceptance,60,"50, 60, 70, 80",Phần trăm,PROPOSED-SEED,Proposed,NOT_PRESENT,DEC-T01,none,B5
