disposition,session,bytes,records,sealed_segments,unsealed_tmp,has_manifest,start_utc,stop_utc,streams,instrument,abnormal_termination,segment_sha256_prefixes
KEPT,24d29b6b300843d2a14315de1b4e7c68,255738301,127219,3,1,True,2026-07-27T15:34:19.5647604Z,,"Trade,Dom",GCQ6@COMEX,False,2DBD4DFEFD07B8EE;C142995B9F83799D;C5F02428F2CD9F93
KEPT,27ca68e6537740838ab00eb825c185ef,69884634,48031,1,1,True,2026-07-27T17:14:13.1411518Z,,"Trade,Dom,Mbo",GCQ6@COMEX,False,188D21A43FC305C5
KEPT,3b4c151328804149915744dd43f912bd,1547626,988,1,0,True,2026-07-22T12:31:59.7046595Z,2026-07-22T12:33:02.9172585Z,Trade,GCQ6@COMEX,False,BFD81D0D9D815E7D
KEPT,4b0078a775764849acf44fc47f30fd68,15196693,10995,1,0,True,2026-07-27T17:21:50.6115654Z,2026-07-27T17:23:54.4339128Z,"Trade,Dom,Mbo",GCQ6@COMEX,False,A1F81C569D73F73E
KEPT,737a08961394470b83f6070b684cf383,799127,508,1,0,True,2026-07-22T11:25:42.1965987Z,2026-07-22T11:29:17.5425549Z,"Trade,Dom",GCQ6@COMEX,True,C521FC1BA53810D3
KEPT,7cc5b6551f794a6094aee403ec20a408,3516169,2544,1,0,True,2026-07-27T17:21:16.2489224Z,2026-07-27T17:21:49.6484511Z,"Trade,Dom,Mbo",GCQ6@COMEX,False,8E611733FCB09ECA
KEPT,896e846d489347be87058ef2d8c70225,12324196,7393,1,1,True,2026-07-27T11:57:25.4414592Z,,Trade,GCQ6@COMEX,False,5B2AA393BE620D3F
KEPT,b46a5c0d0f6443eaa231d59f9fb9fa33,31534741,14334,1,1,True,2026-07-28T09:09:32.2548821Z,,"Trade,Dom,Mbo",GCQ6@COMEX,False,760F3EC5ED6178E1
KEPT,bf07a0df2e2844da916951188ff129cd,987240032,661425,16,1,True,2026-07-30T16:29:05.2830529Z,,"Trade,Dom,Mbo",GCZ6@COMEX,False,E6F719A10A38AC03;55708933A61DC9F3;E730D59BE7D212DC;CD72854650E97AAB;4578E94C9B62A507;935577C04EAEFA76;9EB849CAE8052A9C;657A4A50851E39F1;A23CEFCCC1CBD0D6;3C2A412A06E9B900;03C96CD8EA9AF518;4DE3D667BD71FEA9;CDCEC40D77F6AF83;DE5A584AE121446D;43E6C12E52521F8F;46232CFCAF00A39E
KEPT,fbd7161456c045ca8ff9830ccaef8342,1796248,1146,1,0,True,2026-07-23T07:51:59.7406275Z,2026-07-23T07:53:42.20142Z,Trade,GCQ6@COMEX,False,1017499CA58D6205
DELETED,01f6650494194d3bacbe00062dede326,8448456,5390,2,0,True,2026-07-22T11:38:02.7693115Z,2026-07-22T11:44:12.9609567Z,Trade,GCQ6@COMEX,False,A553452478BB9525;67FF5ED1C9B22602
DELETED,05e04cd727144545b553ba867de67cbd,28143206,17852,10,1,True,2026-07-23T08:13:55.1211166Z,,Trade,GCQ6@COMEX,False,CBA016DDD03C7EA6;15F94545C42F474E;52FD05234BB4D958;D92A25B8096939F2;28789E4C726708E3;E92F0043605F1523;E67C5F2CB7BD2D76;999C849ABBBBF88B;3F6D4D50995B156F;D7033123D1B64BDA
DELETED,0740b23f384d43f8b4ad5fa7b88ced45,294543407,172815,4,1,True,2026-07-27T14:37:26.3687323Z,,"Trade,Dom",GCQ6@COMEX,False,81600DE59D6D55E7;C5A09F7D25B3EDBB;07673268684644B4;7E09FFD353E909DF
DELETED,11e2d59b9856459fab7ca0737eefac74,1105564788,775299,25,1,True,2026-07-28T09:41:12.9017818Z,,"Trade,Dom,Mbo",GCQ6@COMEX,False,8AD27CDB17F29342;E5ECFFDD1BD5116A;2EC5B778C4BC9EA7;A09AC33723F7A10A;7FF8E02F02E67EAD;667D6F0772E1175F;E43C1181608F24E8;7333DDB4D16FA750;7263405A09751212;539DEACE65319EFD;C463409BCE9B4EF3;2E4C0E156A6876CD;022D4564B4DA288A;5EEB5F74480242CC;F75F05CE5CF5880F;65EC663A75DA0834;8A0CBD4B93CC5A3F;3556663306F20683;875AFA6F942EC98F;49F1209FF4A6B42C;8DACC5828AD8A585;26D1629EA361B65F;7DA25256C38E7E5E;D735BA541F865D4A;B11EAEB972C109B9
DELETED,15fa18b397b945819f88e1cb8dd13d1f,3208723,2046,2,0,True,2026-07-23T05:21:40.1699961Z,2026-07-23T05:31:24.4318755Z,Trade,GCQ6@COMEX,False,44DA5713547AB9D4;75A50E4FA717F927
DELETED,1b544b3206fa4f929c831450c64fc24d,350040990,234787,16,1,True,2026-07-27T12:14:57.7776852Z,,"Trade,Dom",GCQ6@COMEX,False,CAD909C096B0D1B0;244C46006354CA0C;3C3E4BE86EB8B56F;997AFE8085B5E853;D402C453AD61341D;8A893D3BE5F76546;90740BB1F0D33770;156003431D12A579;EDA28366172EAAFB;6C6AB78A2071AD0A;E56ACFE0044B2443;3753D2405532C0D4;8FF2473D13D889EA;6CA1EEC44F2E7A34;7D7A03E211C6017D;BFCA62087A9CF41A
DELETED,1b59056de6474b4886132b0f1fed253d,149377542,90795,4,1,True,2026-07-27T11:31:58.6150071Z,,Trade,GCQ6@COMEX,False,D14172CA5981AC3E;3134B2CB8C07E54C;AC183A548BFBAAF8;8E09555229B9EEF3
DELETED,1d9a59c029b34698989070da83d3e568,142861590,90382,4,1,True,2026-07-27T11:18:37.1995224Z,,Trade,GCQ6@COMEX,False,5469F315D46F8225;B95D785E7B0F9298;BA1039D0D96F6279;B25C1C7F69029A2C
DELETED,256cceffb1dc4d9f97a63e97bf345a5b,414226823,277310,7,1,True,2026-07-27T15:12:19.2921427Z,,"Trade,Dom",GCQ6@COMEX,False,F74415B5004A2329;7CD36F9D71B8B067;9907DD841F4BD20B;1170C05BE57128DC;FBDE7CDD41783920;56CF24F47369E34A;4DE583E50B339BAE
DELETED,2836848c6c7844e59203211a044c3dd6,360879525,234188,6,0,True,2026-07-27T17:12:33.7444734Z,2026-07-27T17:14:08.0461575Z,"Trade,Dom,Mbo",GCQ6@COMEX,False,BD967C7E61DA2FB3;9CDE262C0D60F85B;041C9F2EF2668032;A19587D17D57813C;C6FF2823F10620C0;3528CC2C1C20DD5F
DELETED,29834bc0f7494bd6946baa2c29048234,198027704,133612,4,1,True,2026-07-27T17:23:58.9526413Z,,"Trade,Dom,Mbo",GCQ6@COMEX,False,693ADD7648FC2F37;AB75769A2653EFA1;30C8C50E97AECA99;ABA2DA4373585FA2
DELETED,2ce34b5ba4f741018879f55ce3c5fd19,249470940,169090,4,0,True,2026-07-28T09:33:06.7511377Z,2026-07-28T09:41:09.9631942Z,"Trade,Dom,Mbo",GCQ6@COMEX,False,5A7523BF8ED1295F;0ADC8A61B0BB678E;DDA4A95B0E8EBCA7;1B8A1ACD6AA03AD6
DELETED,330db98c10f34e5295bdc1d3d0d5f927,414712824,274190,6,1,True,2026-07-27T14:26:56.7272999Z,,"Trade,Dom",GCQ6@COMEX,False,247A9767EC44AC8D;434C3F3204C699F8;2A5DE599076903E8;FE9BC760250C1B6C;32410CC8E8E572D5;95A467763DA2BD34
DELETED,418ae9218b724f36ac37f1ff347563fc,145021291,81628,2,1,True,2026-07-28T08:56:05.8099388Z,,"Trade,Dom,Mbo",GCQ6@COMEX,False,49A199D3C99CB2DC;0599EC76CB9E8B73
DELETED,459ef9bec5e545ffa3d16b3067941db8,348650863,224942,6,0,True,2026-07-27T17:20:06.3284161Z,2026-07-27T17:21:13.8601464Z,"Trade,Dom,Mbo",GCQ6@COMEX,False,8F1D0564B2C74621;9ABEFF54360A369C;933C2BEC6649FF4C;7539DAC059890AFD;6805852910823599;232DD5E86296AA60
DELETED,4d26a652071f458585ac1a863c8247cd,469167569,295952,7,1,True,2026-07-27T15:46:08.3960246Z,,"Trade,Dom,Mbo",GCQ6@COMEX,False,E987B45E40FD6BFC;57F02D85AF4A2558;5BAF5878B1A8FE4F;D6A508B7F2ED0747;D00910E2A573B523;E7A5B30D846CFDBB;A670AF0717E1CC38
DELETED,4f2e64fd53cb4e0085bebde0d99c1254,158688704,104664,3,1,True,2026-07-28T09:20:40.5471442Z,,"Trade,Dom,Mbo",GCQ6@COMEX,False,51047DAC611F65E0;13247FFAAA990552;C080115DB021379E
DELETED,56a922978f604bfe9abbf6bba3b17cd1,431764253,249063,6,1,True,2026-07-27T16:37:51.7825948Z,,"Trade,Dom,Mbo",GCQ6@COMEX,False,17AC5AD1E0C3A522;4D267521F803E5E8;F798EAFA32D09A3B;91A23E20377CF44B;943247C99C64AF54;4F6305A80F5DF3B2
DELETED,5b15b3e3014d4e668dafafcc71b0d014,7842771,5010,1,0,True,2026-07-22T12:27:48.2084059Z,2026-07-22T12:31:34.3744541Z,Trade,GCQ6@COMEX,False,195B3A7BC91645B4
DELETED,5eeafc13755846799407ad76b1133211,851968,0,0,1,False,,,,,,
DELETED,6ea63c0464c64df1827dce53083f432a,139528524,88244,3,0,True,2026-07-27T11:57:03.9044752Z,2026-07-27T11:57:23.4179441Z,Trade,GCQ6@COMEX,False,E6122204FA576B39;0310E25EEC4CFED8;016250EE127C6DA7
DELETED,71cc9a3c502b4df8970f974efc73f3a1,1855488,0,0,1,False,,,,,,
DELETED,753b7dc3509342468f1524a68179e4a6,5132288,0,0,1,False,,,,,,
DELETED,7e66c91b311c460182fbfc4e2ff22d30,7929105,4454,6,1,True,2026-07-23T04:10:13.4676698Z,,Trade,GCQ6@COMEX,False,D27306BEA392EA70;A5B202CD689B9E6F;E09217B6D592ED4B;FDE6F655267C987F;203D8A354E18DA66;1AF36C1615476521
DELETED,8719e2ef09844d48a4403bd25fbe7057,539720050,364566,18,1,True,2026-07-27T19:42:09.5984454Z,,"Trade,Dom,Mbo",GCQ6@COMEX,False,90D543B2D476B9A0;006CD84E9A318678;EB1CD2457BC9B52C;3F4A82F1E9BB73C3;39A67CB5367AB1F1;13908B38646DDD4E;7A5978134712A586;A75E226999FBF8B2;BAA0771239569181;60CF6D705CB126E1;60D69B21AE0C9286;220A61B735354639;9F05A621B4A82848;D1C21D94BE8E8889;DD04F256A50F39F4;CC876370E022C589;E7C199B410A983D4;3F8AA7FDE4401FFE
DELETED,8939116c3cb34f43be98d3eed0d05e34,389880647,241566,6,1,True,2026-07-27T18:57:57.021563Z,,"Trade,Dom,Mbo",GCQ6@COMEX,False,74217C1668A28CE8;4EB93FDCDC6D1428;FBCE787A009AA34A;FF6C3D52E5D06FA6;AD7126DB427266C3;F56096E26CCFE9BA
DELETED,8cb9508ccd0f4b329670adcb52bd9a65,233389301,152520,4,0,True,2026-07-27T18:21:58.1644054Z,2026-07-27T18:22:43.6649776Z,"Trade,Dom,Mbo",GCQ6@COMEX,False,30759951DB841422;4D2BF6D266B09BAD;CC72474672327B56;EBE488257DC40AA8
DELETED,8d96b396fc334c6b8f411bcfae9717ee,616790022,422324,9,1,True,2026-07-27T14:00:52.1329188Z,,"Trade,Dom",GCQ6@COMEX,False,7BC3F90BF7549062;01BBE46380598EE4;64CDF865ACC88DD4;45D7D742DE89F969;38805686A0F239D8;F2AB1197454DB185;6D4FB8EC5C9831AA;29165357230400DF;24917E280EF80E40
DELETED,91dd8ca0736f49819f59b43de3577f96,316820091,189333,5,1,True,2026-07-27T13:42:28.4303601Z,,"Trade,Dom",GCQ6@COMEX,False,6CDFBD134237972D;58BC4350648A3C6A;1C02E43DF655370D;B5BAA1E7668A0B19;58817BAD061C8D26
DELETED,922fbc8283fb4cfaa34973bc42a0cf2b,178027434,85781,2,1,True,2026-07-27T19:23:22.1505437Z,,"Trade,Dom,Mbo",GCQ6@COMEX,False,0D0B57F54019281E;868C73FC1C35E87A
DELETED,9457a89e2126462d9d875696b0e447b9,450960778,291684,7,1,True,2026-07-27T18:32:30.0345304Z,,"Trade,Dom,Mbo",GCQ6@COMEX,False,626BDBB43ABD04EF;BB741B6CB39ED467;301D3352CB4389CC;E5946599F6490C0A;7EED574C5BD3221C;DB196CE81475E797;D5769AB42B0DCEF3
DELETED,94ad02d363aa41a48014c2dccaa3b929,897558,570,2,0,True,2026-07-22T10:50:44.1921421Z,2026-07-22T10:56:48.2954254Z,"Trade,Dom",GCQ6@COMEX,True,9CCD22B47D014600;C53B87F8C8B62A17
DELETED,97673894124b42e88aea7fb2fc2b8c66,4247552,0,0,1,False,,,,,,
DELETED,ae2c9dba591749ca90566c540c1d1a22,147851842,92076,3,1,True,2026-07-27T11:46:59.0790006Z,,Trade,GCQ6@COMEX,False,861FFF99CFB23530;333B98E8D3C1C8AE;F8BE735FACA4EE71
DELETED,b18a8bd4839342efa77c4449117f3452,230767140,136369,4,1,True,2026-07-28T08:29:00.061972Z,,"Trade,Dom,Mbo",GCQ6@COMEX,False,D50264AF5676F8DD;159448746A7BCD94;687AE0BA24F574CD;70E370669BABDAC6
DELETED,bb623d6c07ea47c088a8da5578c84515,200679496,124726,3,1,True,2026-07-27T12:06:06.4777643Z,,Trade,GCQ6@COMEX,False,F36233477A854DFC;9142F7A744C617FD;0AC3397C135B0A41
DELETED,bf63639411144f478da03a40b56c34af,61088524,38878,21,0,True,2026-07-23T05:42:27.0934043Z,2026-07-23T07:29:11.8822903Z,Trade,GCQ6@COMEX,False,831F198684EA12AD;1BA1E40225508589;18285521BA14F80A;FBB3BE425F817ECB;789214453D1372C4;9D13D7AB365A9D46;8B06A9B219775308;FA65E249A07F1851;577270A6C68EFA28;93E82560B4721F42;A02088FEBB9E5F3F;54077C39E71DA9EB;5E72E1B2CA8AC046;9611B8EFE93186AB;034545F8BFF1B798;89BD733088D4A78B;E0F12662734EBE2A;2FD05201DF374197;2492E88B6ECD3ECA;E5BA33CB9593BCDF;CE489C017004EDBC
DELETED,c237940af5954981898f70cdd384d476,29433856,0,0,1,False,,,,,,
DELETED,cd8c149dfecf47cc85947b5dc857785f,286603080,173885,4,1,True,2026-07-27T13:31:06.4985345Z,,"Trade,Dom",GCQ6@COMEX,False,50AFB7A2C41F81C1;87F5D0F268C41F65;08BD4F69D807B946;FECCB9E772DA18C1
DELETED,d17d613d2a434006bd0cc871a53af3d3,284122495,173917,4,1,True,2026-07-27T15:04:51.4178218Z,,"Trade,Dom",GCQ6@COMEX,False,049BCC03DDA1E9BD;C7E4494007F55CAF;F070AF81F60745B8;760AE6F660A3CA64
DELETED,d3d89f53a11e4546a7f2bc6f4beaf6ce,884736,0,0,1,False,,,,,,
DELETED,d9635f6d1b6a4fc4a8c2ce3c2632ccc9,248647933,127908,3,1,True,2026-07-27T19:38:11.8835518Z,,"Trade,Dom,Mbo",GCQ6@COMEX,False,8E685E3C9D0436CB;AFA53EACCEAC1A12;877CE81CAFD03F8A
