probe,description,utc_start,utc_stop,local_start,authenticated,request_accepted,subscription_accepted,callback_observed,callback_count,callback_types,payload_bytes,nonempty_values_observed,nonnull_fields,first_event_utc,last_event_utc,sequence_present,sequence_min,sequence_max,sequence_gaps,error,capture_file,capture_bytes,capture_sha256,clean_teardown,notes
P0,"authenticate, TICKER_PLANT only",2026-07-31T10:21:33+00:00,2026-07-31T10:21:36+00:00,2026-07-31T17:21:33+07:00,True,,,False,0,,0,False,,,,0,,,0,,,0,,,
P1,exchange + entitlement enumeration -> list_exchanges(),2026-07-31T10:21:36+00:00,2026-07-31T10:21:36+00:00,2026-07-31T17:21:36+07:00,True,True,,True,4,,835,True,exchange=4;user_msg=4;rq_handler_rp_code=4;entitlement_flag=4;level_1_market_data=4;level_2_market_data=4;template_id=4,,,0,,,0,,P1_exchange_permissions.json,835,2f30f8e346d9069997020554bae20554ffe64fb35ee29b76805aed4a2498d4e5,,
P2,front-month GC contract -> get_front_month_contract(),2026-07-31T10:21:36+00:00,2026-07-31T10:21:36+00:00,2026-07-31T17:21:36+07:00,True,True,,True,1,,43,True,symbol=1,,,0,,,0,,P2_front_month.json,43,69c2b0be354de823589ef56693db1d54dc1bb7bbfaafac98fc2fa827d16e547f,,
P3,reference data for GCZ6,2026-07-31T10:21:36+00:00,2026-07-31T10:21:37+00:00,2026-07-31T17:21:36+07:00,True,True,,True,1,,501,True,symbol_name=1;expiration_date=1;product_code=1;symbol=1;exchange=1;exchange_symbol=1;instrument_type=1;user_msg=1;rp_code=1;presence_bits=1;currency=1;ftoq_price=1;qtof_price=1;min_qprice_change=1;min_fprice_change=1;single_point_value=1;template_id=1;clear_bits=1;is_underlying_for_binary_contrats=1,,,0,,,0,,P3_reference_data.json,501,da2fa2b8159e38c6b72ffe24bae9f77f8f65355910cdb8e777cd772c0b7f6db7,,
P4,"L1 trades + BBO, 25s",2026-07-31T10:21:37+00:00,2026-07-31T10:22:02+00:00,2026-07-31T17:21:37+07:00,True,True,True,True,104,dict=104,53705,True,symbol=104;exchange=104;presence_bits=104;ssboe=104;datetime=104;data_type=104;usecs=102;lean_price=94;bid_price=67;bid_size=67;bid_orders=67;ask_price=29;ask_size=29;ask_orders=26;source_ssboe=8;source_usecs=8;source_nsecs=8;jop_ssboe=8;jop_nsecs=8;trade_price=5;net_change=5;volume=5;percent_change=5;trade_size=5;aggressor=5;ask_implicit_size=5;vwap=4;aggressor_exchange_order_id=4;exchange_order_id=3;is_snapshot=2,1785493298,1785493320,0,,,0,,P4_l1_trades_bbo.json,53705,7764c3382210b036f6cbfad5c4baa66f6a0e76a3333c79212df568a7e2ab5749,True,
P5,"14 unrequested UpdateBits surfaces, 25s",2026-07-31T10:22:02+00:00,2026-07-31T10:22:27+00:00,2026-07-31T17:22:02+07:00,True,True,True,True,34,dict=34,18965,True,symbol=34;exchange=34;presence_bits=34;ssboe=34;usecs=34;datetime=34;data_type=34;lean_price=24;bid_price=13;bid_size=13;bid_orders=13;ask_price=11;ask_size=11;source_ssboe=10;source_usecs=10;source_nsecs=10;jop_ssboe=10;jop_nsecs=10;ask_implicit_size=8;ask_orders=7;trade_price=5;net_change=5;percent_change=5;trade_size=5;vwap=5;exchange_order_id=5;volume=5;aggressor=4;aggressor_exchange_order_id=4,1785493322,1785493323,0,,,0,,P5_session_stats.json,18965,05d1c2761183c61af7e2502ae3415687560ed21f04a2efc57a915ba101440d8b,True,update_bits=131064
P6a,"aggregated ORDER_BOOK, 25s",2026-07-31T10:22:27+00:00,2026-07-31T10:22:52+00:00,2026-07-31T17:22:27+07:00,True,True,True,True,762,OrderBook=762,71650,True,symbol=762;exchange=762;presence_bits=762;template_id=762;update_type=762;ssboe=761;usecs=761;bid_price=419;bid_size=419;bid_orders=419;impl_bid_size=419;ask_price=344;ask_size=344;ask_orders=344;impl_ask_size=344,1785493349,1785493371,0,,,0,,P6a_order_book.json,71650,669f09d8dc26c25a8ebbd9ee0ab3176ed47686eb825281ced1f5dec26ed9c34c,True,update_type 7=365 | update_type 4=198 | update_type 6=198 | update_type 3=1
P6b,"DepthByOrder / MBO at representative price levels, 25s",2026-07-31T10:22:52+00:00,2026-07-31T10:23:17+00:00,2026-07-31T17:22:52+07:00,True,True,True,True,51,DepthByOrder=51,28100,True,symbol=51;exchange=51;update_type=51;sequence_number=51;exchange_order_id=51;ssboe=51;usecs=51;source_ssboe=51;source_usecs=51;source_nsecs=51;jop_ssboe=51;jop_nsecs=51;transaction_type=51;depth_order_priority=51;depth_price=51;depth_size=51;template_id=51;prev_depth_price=51;prev_depth_price_flag=51,1785493374,1785493397,51,114877484,114879815,49,,P6b_depth_by_order.json,28100,50dfc72138e29260e686356f4891b9575552a713213f088a31887056d7be3d1b,True,"depth_price levels=[4109.9, 4110.0, 4110.1] | update_type [2]=30 | update_type [1]=11 | update_type [3]=10"
P7,option chain discovery + reference data,2026-07-31T10:23:17+00:00,2026-07-31T10:23:45+00:00,2026-07-31T17:23:17+07:00,True,True,,True,87649,,2921,True,symbol_name=6;expiration_date=6;product_code=6;symbol=6;exchange=6;exchange_symbol=6;instrument_type=6;user_msg=6;rp_code=6;presence_bits=6;currency=6;ftoq_price=6;qtof_price=6;min_qprice_change=6;min_fprice_change=6;single_point_value=6;template_id=6;clear_bits=6,,,0,,,0,,P7_option_reference_data.json,2921,ecd64541961636844a2ea4611a626f3664f9c3e3caf0c793a4119d6cd2ecd8d2,,
P8,"option market data: trades, BBO, OI, settlement, 25s",2026-07-31T10:23:45+00:00,2026-07-31T10:24:10+00:00,2026-07-31T17:23:45+07:00,True,True,True,True,8,dict=8,3740,True,symbol=8;exchange=8;is_snapshot=8;presence_bits=8;ssboe=8;clear_bits=8;datetime=8;data_type=8,1784929170,1784929123,0,,,0,,P8_option_market_data.json,3740,84abf73e5089b87a46fff23db05b1cc6a127b0a602a1c1c98c33e31e530b023b,True,update_bits=2595 on 4 option symbols | template158_frames=1
