evidence_id,artifact,demonstrates,exists,sha256
EV-DOC-12,docs/review/kdk_v4/wp_l1_rithmic/12_EXPLOITATION_PROBE_RESULTS.md,exploitation probe report,True,df1174035c4bb8306e5d38c37c0ee85408a5c7bd924c2173d96a0a4e925f1e81
EV-DOC-13,docs/review/kdk_v4/wp_l1_rithmic/13_RECORDER_READINESS_EVIDENCE.md,recorder readiness report,True,c0bdfdd4cfdb0089a9531b70f3f4d17190d6615bd73fb099a481dcd4b35b3818
EV-EXPLOIT-OPTION-CATALOG,docs/review/kdk_v4/wp_l1_rithmic/probe/exploit_20260731T105819Z_results.csv,option discovery by product_code + InstrumentType.FUTURE_OPTION,True,00d6eefaf9d4ebc7037beab8d8c485bbbdf0c7315ba98fcea5c84d280ecb8a7d
EV-EXPLOIT-OPTION-QUOTES,docs/review/kdk_v4/wp_l1_rithmic/probe/exploit_20260731T105819Z_results.csv,84 option-symbol ticks across 2 calls and 2 puts near ATM,True,00d6eefaf9d4ebc7037beab8d8c485bbbdf0c7315ba98fcea5c84d280ecb8a7d
EV-EXPLOIT-OPTION-REFERENCE,docs/review/kdk_v4/wp_l1_rithmic/probe/exploit_20260731T105819Z_results.csv,"vendor reference data: underlying, strike, expiry, put/call, point value",True,00d6eefaf9d4ebc7037beab8d8c485bbbdf0c7315ba98fcea5c84d280ecb8a7d
EV-HIST-PARITY,docs/review/kdk_v4/wp_l1_rithmic/probe/exploit_20260731T112315Z_E7_parity.json,76 of 77 live trades present in the same historical window,True,ce5b86ef1f9b8f8bc854e3d061e46d5e6a8d7806be269da79cdb35ae466a3e8b
EV-PARAM-REGISTRY,docs/review/kdk_v4/mrbs_param_recon_r3/KDK_PARAMETER_CANONICAL_REGISTRY_R3.csv,"134 canonical parameters, 0 Approved (92 Proposed / 38 UnderReview / 4 Deferred)",True,ed32e917a831c451d43555224fa2052622cdcbd8913cd35164e3d6d5e3968c45
EV-PERBIT-ATTRIBUTION,docs/review/kdk_v4/wp_l1_rithmic/probe/exploit_20260731T110107Z_results.csv,"each of 14 UpdateBits subscribed alone; 12 return unparseable templates, 0 ticks",True,1f07636dcab79959c1dac1abbf5e396dec62ff82f544557f07ca09685bdb14fb
EV-PERBIT-UNMAPPED,docs/review/kdk_v4/wp_l1_rithmic/probe/UNMAPPED_TEMPLATES_exploit_20260731T110107Z.json,per-bit unmapped template frames 152/153/154/155/157/158/162/163,True,ec4dcfce5f81b3f8654dca08790198976f8bf9e51fb77da1971c918652200cd7
EV-PROBE-AGG-BOOK,docs/review/kdk_v4/wp_l1_rithmic/probe/probe_20260731T102133Z_results.csv,"aggregated order book, update_type SOLO/BEGIN/END/SNAPSHOT_IMAGE",True,a4d097ace9343ddb96b3436c2ea046f0893566e0f06d8f448a437dd112ffe645
EV-PROBE-ENTITLEMENT,docs/review/kdk_v4/wp_l1_rithmic/probe/probe_20260731T102133Z_results.csv,"COMEX/NYMEX/CBOT/CME level 1 and level 2 entitlement, flag=1",True,a4d097ace9343ddb96b3436c2ea046f0893566e0f06d8f448a437dd112ffe645
EV-PROBE-L1-TRADES,docs/review/kdk_v4/wp_l1_rithmic/probe/probe_20260731T102133Z_results.csv,"executed trades with aggressor, vwap, volume, trade_size on template 150",True,a4d097ace9343ddb96b3436c2ea046f0893566e0f06d8f448a437dd112ffe645
EV-REBUILD-DIVERGES,docs/review/kdk_v4/wp_l1_rithmic/probe/exploit_20260731T113104Z_E5_book_rebuild.json,21-price fan-out; 1 order seeded per snapshot; 3 of 21 levels match vendor book,True,752b07f7f532bdc4fc5c8fabe3600f6d5426f7ad4b1a14fde1f593a68f828efc
EV-RECONNECT-GAP,docs/review/kdk_v4/wp_l1_rithmic/probe/exploit_20260731T113104Z_E6_reconnect.json,"reconnect 12.4s, subscriptions replayed, sequence delta 3975 unrecovered",True,7eb0830fe714a6d28766e24613ca907b93682f384c8027d12f35198e4e18a00d
EV-UNMAPPED-OI-155-157,docs/review/kdk_v4/wp_l1_rithmic/probe/UNMAPPED_TEMPLATES_exploit_20260731T105819Z.json,"template 158 open interest, 155 settlement, 157 market mode decoded off the wire",True,38cf160cfdcd12003ec2a5e11f19c3fa559cd9bc8a2be4368517361ded93b32d
